"행정구역(시군구)별(1)",행정구역(시군구)별(2),2022,2022,2022,2022,2022,2022,2022,2022
"행정구역(시군구)별(1)",행정구역(시군구)별(2),급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액
"행정구역(시군구)별(1)",행정구역(시군구)별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"강원",동해시,20810,717241,20809,715836,18532,375472,13002,34352
"강원",삼척시,18321,729024,18321,723834,16651,397698,12346,38110
"강원",속초시,19800,578016,19800,576240,17523,282332,11796,21119
"강원",양구군,4825,161294,4825,160826,4397,80221,3107,5816
"강원",양양군,7282,236414,7282,235670,6575,118562,4661,8648
"강원",영월군,10294,391790,10294,390478,9510,207507,7134,17476
"강원",원주시,111446,3961438,111445,3945955,99152,2081341,70443,184328
"강원",인제군,7239,236243,7239,235720,6551,116859,4807,7949
"강원",정선군,14459,629037,14459,617866,13062,339418,10360,29752
"강원",철원군,8774,289863,8774,288981,7935,144496,5676,10310
"강원",춘천시,107172,4159335,106796,4143887,96901,2191496,71440,199802
"강원",태백시,10691,371750,10690,368089,9753,192812,6684,16899
"강원",평창군,12489,419773,12484,418844,11101,212054,7978,15900
"강원",홍천군,19855,753392,19855,749591,18230,405219,13451,39396
"강원",화천군,5125,174159,5125,173791,4552,87429,3448,6221
"강원",횡성군,16002,552136,16002,550591,14619,282055,10448,23237
"대전",소계,574694,23755618,572861,23621378,514696,13069347,376026,1328756
"대전",대덕구,91140,4189522,91011,4176650,83533,2387448,64386,260040
"대전",동구,82536,3682960,82536,3675575,75022,2053174,58388,190180
"대전",서구,165832,6156007,165295,6133176,146065,3208116,103772,292656
"대전",유성구,163046,7313131,161879,7229792,146401,4176267,106033,474242
"대전",중구,72140,2413998,72140,2406185,63675,1244342,43447,111638
"충북",소계,591233,22718927,589158,22634764,534857,12318692,399746,1174351
"충북",괴산군,14060,531656,13991,529799,12909,283803,9700,24902
"충북",단양군,8849,341934,8849,341068,8228,181568,6213,15145
"충북",보은군,9466,348995,9466,348044,8642,185937,6408,16946
"충북",영동군,11513,386914,11394,385136,10219,195985,7287,14941
"충북",옥천군,16149,544520,16149,542324,14579,275082,10322,20780
"충북",음성군,73835,3015934,73419,3006676,68560,1683031,54037,161640
"충북",제천시,34235,1144475,33930,1139583,30626,586890,21436,50208
"충북",증평군,8694,296389,8694,295846,7838,151995,5668,11468
"충북",진천군,52861,2247134,52773,2237364,49069,1258661,39098,126101
"충북",청주시,292893,11269768,291824,11224505,263485,6108800,194570,598560
"충북",충주시,68678,2591208,68669,2584419,60702,1406940,45007,133660
"충남",소계,784532,31775547,781175,31664555,710654,17621946,538533,1785282
"충남",계룡시,8605,261612,8605,261044,7632,126006,4999,8833
"충남",공주시,44315,1767540,44315,1764334,40301,954237,30387,87721
"충남",금산군,22071,845302,22071,843107,20174,447704,14920,39535
"충남",논산시,36306,1228032,36262,1222536,32725,626012,23030,47735
"충남",당진시,64169,2739130,64048,2733289,58801,1555022,46476,159982
"충남",보령시,29217,1061579,29217,1057996,26132,567586,18939,51361
"충남",부여군,15399,517087,15399,515850,13720,265482,9668,20998
"충남",서산시,57426,2853634,57159,2847851,52411,1738432,41260,229670
"충남",서천군,15255,539127,15255,537507,13725,281138,9761,22217
"충남",아산시,146744,6372466,146186,6352046,134513,3606709,105259,378464
"충남",예산군,32791,1356326,32791,1351838,30458,732926,23758,65289
"충남",천안시,246919,9577472,245302,9534820,220754,5289443,164247,546710
"충남",청양군,8399,294186,8398,293490,7569,152427,5614,11522
"충남",태안군,15830,628434,15830,627065,14332,345960,10869,32828
"충남",홍성군,41086,1733620,40337,1721782,37407,932862,29346,82417
"세종",소계,166845,7520150,166842,7492473,152210,3980869,119105,351855
"광주",소계,451193,16614838,448601,16553655,400207,8799241,280204,855807
"광주",광산구,133831,4775999,133113,4756696,119243,2476587,83206,220951
"광주",남구,39367,1225526,38901,1220913,33828,617524,22040,53449
"광주",동구,46361,1896502,45428,1888116,40395,1060383,28983,124811
"광주",북구,120676,4186594,120676,4172151,107077,2148903,73622,194307
"광주",서구,110958,4530217,110483,4515779,99664,2495844,72353,262289
"전북",소계,536367,19300280,534776,19232335,480981,10107720,332635,890487
"전북",고창군,12743,430698,12743,429285,11385,219524,7819,17592
"전북",군산시,78574,2775485,78558,2762314,70515,1444999,48776,126785
"전북",김제시,29695,1038655,29695,1035632,26967,537707,18975,43091
"전북",남원시,21451,696221,21451,694409,19503,347672,12818,26026
"전북",무주군,6678,222300,6678,221780,6062,110651,4098,7770
"전북",부안군,12327,407541,12327,406466,11106,201359,7547,13968
"전북",순창군,6716,236548,6716,235819,6114,119618,4251,8870
"전북",완주군,49649,2303268,49293,2296457,45833,1305551,34972,132432
"전북",익산시,83907,2882736,83056,2868705,74486,1482030,50723,125815
"전북",임실군,8128,285325,8128,284313,7401,144610,5106,10624
"전북",장수군,5589,192161,5589,191706,5047,96897,3558,6776
"전북",전주시,185090,6604691,184722,6584738,164446,3468725,112263,320014
"전북",정읍시,29029,983860,29029,980417,25912,505428,17367,41830
"전북",진안군,6791,240791,6791,240294,6204,122949,4362,8894
"전남",소계,591883,23550096,591174,23470077,538205,12794606,391303,1259676
"전남",강진군,8493,288693,8493,288173,7694,145913,5257,11087
"전남",고흥군,12911,422938,12911,421807,11441,211717,7757,15869
"전남",곡성군,7654,256621,7654,255864,6907,128212,4734,9225
"전남",광양시,51646,2130483,51626,2125821,47223,1172410,35380,111802
"전남",구례군,6350,207485,6350,207042,5777,101742,3836,6634
"전남",나주시,90112,4587163,89664,4559607,83895,2659164,69112,281419
"전남",담양군,19261,656419,19261,655137,17497,339296,12256,29207
"전남",목포시,51465,1657870,51419,1652053,45410,827591,29679,70243
"전남",무안군,37157,1670698,37056,1664257,34362,895828,26511,79307
"전남",보성군,9326,317121,9326,316513,8447,161150,5695,12921
"전남",순천시,62824,2100753,62731,2095546,55753,1083237,36771,101026
"전남",신안군,7215,245777,7215,245005,6671,122027,4762,8609
"전남",여수시,83513,3653203,83512,3641540,75249,2133364,55072,272427
"전남",영광군,15321,652532,15321,650469,14157,365403,10389,39306
"전남",영암군,33130,1271312,33130,1269156,30219,677113,21987,58773
"전남",완도군,10266,325809,10266,324831,9321,162318,6182,11432
"전남",장성군,18088,622504,18088,620873,16536,321581,11656,27433
"전남",장흥군,13307,554492,13307,553251,12364,284092,9433,22802
"전남",진도군,5781,202012,5781,201513,5250,101586,3729,7133
"전남",함평군,9817,345573,9817,344624,8951,177731,6190,15727
"전남",해남군,16332,558556,16332,556971,14927,283668,10260,23615
"전남",화순군,21914,822082,21914,820024,20154,439463,14655,43679
"대구",소계,706245,25396037,704735,25290659,628235,13285221,434855,1267848
"대구",남구,39297,1250583,39297,1246932,34726,628025,23105,53383
"대구",달서구,164627,6183237,163951,6157705,147505,3260139,104852,317299
"대구",달성군,86995,3383401,86994,3369516,78911,1810135,57396,169345
"대구",동구,87185,2975110,87183,2964431,76269,1566268,50505,153585
"대구",북구,111129,3757798,110298,3738956,97908,1915753,66037,172915
"대구",서구,53011,1762509,53011,1755302,47977,885066,32604,73454
"대구",수성구,102820,3760486,102820,3750028,90458,1989897,62213,201108
"대구",중구,61181,2322913,61181,2307789,54481,1229938,38143,126759
"경북",소계,870354,35394651,864379,35223156,786321,19541037,578364,2053794
"경북",경산시,96523,3365798,92511,3335190,82263,1761465,57655,167585
"경북",경주시,98576,4081759,98576,4046802,89859,2259294,66914,232740
"경북",고령군,15922,584302,15922,582655,14710,310263,10883,28343
"경북",구미시,141198,5822813,140967,5801312,128801,3237180,94954,341348
"경북",군위군,6726,242148,6726,241619,6150,127245,4486,10506
"경북",김천시,49390,2087042,49100,2077429,44839,1158706,33367,117466
"경북",문경시,17556,564302,17512,562433,15809,282308,10708,21664
"경북",봉화군,7167,254404,7167,253374,6613,129988,4843,9894
"경북",상주시,21896,727350,21896,725626,19878,367466,13443,28571
"경북",성주군,18864,662218,18864,659870,17352,342699,12576,27781
"경북",안동시,56614,2384649,56491,2379867,51813,1267216,39577,114624
"경북",영덕군,7578,256231,7578,255363,6888,129981,4850,9913
"경북",영양군,3479,124725,3479,124485,3212,63685,2318,4828
"경북",영주시,24300,869301,23616,865494,21382,465767,14991,47165
"경북",영천시,37844,1410050,37844,1406161,34509,750760,25086,69427
"경북",예천군,10448,348871,10448,347924,9402,175313,6447,13244
"경북",울릉군,2286,82854,2286,82120,2159,42716,1630,2976
"경북",울진군,12958,579971,12958,577797,11840,335323,9178,36851
"경북",의성군,11269,374441,11269,373153,10287,188721,7100,13769
"경북",청도군,11364,382365,11364,381220,10269,194501,7209,15315
"경북",청송군,5729,193461,5729,193102,5143,99260,3695,7474
"경북",칠곡군,47716,1609533,47647,1602024,43251,815125,30020,66600
"경북",포항시,164951,8386063,164429,8348136,149892,5036055,116434,665710
"부산",소계,1082328,39814008,1073828,39379292,953052,21161794,663494,2219125
"부산",강서구,123129,4982317,123128,4964410,113784,2680418,84169,257015
"부산",금정구,65130,2171019,63747,2154867,56380,1120696,38164,105391
"부산",기장군,62334,2290537,62334,2280019,55554,1216668,38968,120754
"부산",남구,70870,3037858,69973,3021849,62019,1743852,44038,211666
"부산",동구,43544,1570049,43037,1518823,37259,817501,24956,89706
"부산",동래구,58778,1901325,58777,1895223,50570,1007796,32932,120202
"부산",부산진구,108083,3846768,106412,3827091,93062,2081926,63321,242571
"부산",북구,41995,1306307,41914,1302474,36375,655079,23677,61338
"부산",사상구,88237,2990493,87560,2976417,77873,1543707,53853,148748
"부산",사하구,81196,2865967,81039,2850013,72086,1510253,50245,153971
"부산",서구,32357,1311036,32352,1299012,29209,708837,21598,74265
"부산",수영구,36789,1172362,36788,1168493,31797,608790,20602,65844
